Signal,Concentration,Status
101,0,BELOW BOTTOM
211,0.1887595359222911,BELOW LLOQ
230,0.24341232598566745,BELOW LLOQ
201,0.15956134063918143,BELOW LLOQ
599,1.22336464085091,WITHIN RANGE
529,1.0440329664932437,WITHIN RANGE
1761,4.039690259388083,WITHIN RANGE
1794,4.117000352748002,WITHIN RANGE
7888,17.51733798130703,WITHIN RANGE
6702,14.994192667314026,WITHIN RANGE
30472,62.80007524676569,WITHIN RANGE
28715,59.391379182573615,WITHIN RANGE
154951,288.4724404939921,WITHIN RANGE
130310,245.2768352509135,WITHIN RANGE
645084,1098.245985531799,ABOVE ULOQ
580715,995.0495775530882,WITHIN RANGE
