Well,Cytokine,Signal,My Calculated (pg/mL),MSD Calculated (pg/mL),Difference (%)
H09,IL-6,579611,1106.4040,1049.8953,5.38
A02,MCP-1,45973,73.7967,83.0359,11.13
H02,MCP-1,9680,,,
A03,MCP-1,26348,37.3045,46.1783,19.22
H03,MCP-1,5076,,,
A04,MCP-1,15126,13.7932,16.7986,17.89
H04,MCP-1,5588,,,
A05,MCP-1,13071,8.8546,8.4277,5.07
H05,MCP-1,8629,,,
A06,MCP-1,28182,40.8744,50.0768,18.38
H06,MCP-1,25636,35.9048,44.6245,19.54
A07,MCP-1,109654,184.3009,176.6489,4.33
H07,MCP-1,110922,186.4937,178.3696,4.55
A08,MCP-1,385905,768.8902,585.8283,31.25
H08,MCP-1,401049,811.7347,614.7332,32.05
A09,MCP-1,775936,3278.5805,3074.2173,6.65
H09,MCP-1,831302,4425.4953,7186.5424,38.42
A02,TNF-α,1222,1.2470,1.3845,9.93
H02,TNF-α,256,,,
A03,TNF-α,580,0.1715,0.1576,8.86
H03,TNF-α,505,,,
A04,TNF-α,1175,1.1816,1.3010,9.18
H04,TNF-α,1095,1.0676,1.1574,7.76
A05,TNF-α,4081,4.3860,5.9818,26.68
H05,TNF-α,4223,4.5207,6.1969,27.05
A06,TNF-α,17749,14.9159,24.9456,40.21
H06,TNF-α,15813,13.5891,22.3837,39.29
A07,TNF-α,62536,41.3339,80.7280,48.80
H07,TNF-α,61962,41.0211,80.0342,48.75
A08,TNF-α,269475,152.8145,332.0896,53.98
H08,TNF-α,246720,139.6849,303.4646,53.97
A09,TNF-α,940177,1709.0847,1494.0265,14.39
H09,TNF-α,867425,1114.7088,1322.7672,15.73
