Well,Cytokine,Signal,Calculated Concentration (pg/mL),Source Plate,Notes
H02,IL-4,94,0.0004,E3P6,
A03,IL-4,786,0.2299,E3P6,Standard (Known: 0.20 pg/mL)
H03,IL-4,829,0.2442,E3P6,Standard (Known: 0.20 pg/mL)
A04,IL-4,2572,0.8219,E3P6,Standard (Known: 0.81 pg/mL)
H04,IL-4,2776,0.8895,E3P6,Standard (Known: 0.81 pg/mL)
A05,IL-4,10177,3.3469,E3P6,Standard (Known: 3.22 pg/mL)
H05,IL-4,10745,3.5358,E3P6,Standard (Known: 3.22 pg/mL)
A06,IL-4,39995,13.3455,E3P6,Standard (Known: 12.89 pg/mL)
H06,IL-4,40060,13.3675,E3P6,Standard (Known: 12.89 pg/mL)
A07,IL-4,154084,53.2321,E3P6,Standard (Known: 51.56 pg/mL)
H07,IL-4,154892,53.5243,E3P6,Standard (Known: 51.56 pg/mL)
A08,IL-4,605506,242.2119,E3P6,Standard (Known: 206.25 pg/mL)
H08,IL-4,597286,238.2381,E3P6,Standard (Known: 206.25 pg/mL)
A09,IL-4,1379072,757.0050,E3P6,Standard (Known: 825 pg/mL)
H09,IL-4,1474619,848.5093,E3P6,Standard (Known: 825 pg/mL)
A02,IL-5,577,0.7792,2BOANACS77,
H02,IL-5,141,0.0034,2BOANACS77,
A03,IL-5,523,0.6815,2BOANACS77,Standard (Known: 0.52 pg/mL)
H03,IL-5,395,0.4512,2BOANACS77,Standard (Known: 0.52 pg/mL)
A04,IL-5,1133,1.7940,2BOANACS77,Standard (Known: 2.09 pg/mL)
H04,IL-5,1067,1.6728,2BOANACS77,Standard (Known: 2.09 pg/mL)
A05,IL-5,4003,7.1462,2BOANACS77,Standard (Known: 8.36 pg/mL)
H05,IL-5,4145,7.4137,2BOANACS77,Standard (Known: 8.36 pg/mL)
A06,IL-5,17283,32.6298,2BOANACS77,Standard (Known: 33.44 pg/mL)
H06,IL-5,16103,30.3392,2BOANACS77,Standard (Known: 33.44 pg/mL)
A07,IL-5,61651,120.7121,2BOANACS77,Standard (Known: 133.75 pg/mL)
H07,IL-5,59964,117.3079,2BOANACS77,Standard (Known: 133.75 pg/mL)
A08,IL-5,246308,512.2408,2BOANACS77,Standard (Known: 535 pg/mL)
H08,IL-5,241288,501.1399,2BOANACS77,Standard (Known: 535 pg/mL)
A09,IL-5,836216,1998.9249,2BOANACS77,Standard (Known: 2140 pg/mL)
H09,IL-5,791590,1872.7890,2BOANACS77,Standard (Known: 2140 pg/mL)
A02,IL-6,1605,3.6728,2BOANACS77,
H02,IL-6,744,1.5893,2BOANACS77,
A03,IL-6,1555,3.5547,2BOANACS77,Standard (Known: 0.25 pg/mL) - High error
H03,IL-6,521,1.0234,2BOANACS77,Standard (Known: 0.25 pg/mL) - High error
A04,IL-6,928,2.0455,2BOANACS77,Standard (Known: 1.02 pg/mL)
H04,IL-6,762,1.6343,2BOANACS77,Standard (Known: 1.02 pg/mL)
A05,IL-6,1957,4.4974,2BOANACS77,Standard (Known: 4.06 pg/mL)
H05,IL-6,1966,4.5184,2BOANACS77,Standard (Known: 4.06 pg/mL)
A06,IL-6,6671,14.9279,2BOANACS77,Standard (Known: 16.25 pg/mL)
H06,IL-6,6970,15.5668,2BOANACS77,Standard (Known: 16.25 pg/mL)
A07,IL-6,27024,56.0979,2BOANACS77,Standard (Known: 65 pg/mL)
H07,IL-6,29395,60.7122,2BOANACS77,Standard (Known: 65 pg/mL)
A08,IL-6,130007,244.7426,2BOANACS77,Standard (Known: 260 pg/mL)
H08,IL-6,134248,252.2127,2BOANACS77,Standard (Known: 260 pg/mL)
A09,IL-6,586864,1004.9351,2BOANACS77,Standard (Known: 1040 pg/mL)
H09,IL-6,579611,993.2741,2BOANACS77,Standard (Known: 1040 pg/mL)
A02,MCP-1,45973,79.1921,E3P6,High error - Plate may need recalibration
H02,MCP-1,9680,19.0214,E3P6,High error - Plate may need recalibration
A03,MCP-1,26348,47.4749,E3P6,Standard (Known: 0.66 pg/mL) - Very high error
H03,MCP-1,5076,10.5081,E3P6,Standard (Known: 0.66 pg/mL) - Very high error
A04,MCP-1,15126,28.5958,E3P6,Standard (Known: 2.64 pg/mL) - Very high error
H04,MCP-1,5588,11.4843,E3P6,Standard (Known: 2.64 pg/mL) - Very high error
A05,MCP-1,13071,25.0276,E3P6,Standard (Known: 10.55 pg/mL)
H05,MCP-1,8629,17.1220,E3P6,Standard (Known: 10.55 pg/mL)
A06,MCP-1,28182,50.4917,E3P6,Standard (Known: 42.19 pg/mL)
H06,MCP-1,25636,46.2996,E3P6,Standard (Known: 42.19 pg/mL)
A07,MCP-1,109654,179.3083,E3P6,Standard (Known: 168.75 pg/mL)
H07,MCP-1,110922,181.3037,E3P6,Standard (Known: 168.75 pg/mL)
A08,MCP-1,385905,665.1078,E3P6,Standard (Known: 675 pg/mL)
H08,MCP-1,401049,696.2227,E3P6,Standard (Known: 675 pg/mL)
A09,MCP-1,775936,1759.7602,E3P6,Standard (Known: 2700 pg/mL)
H09,MCP-1,831302,1992.3486,E3P6,Standard (Known: 2700 pg/mL)
A02,TNF-α,1222,1.2378,E3P6,
H02,TNF-α,256,0.0450,E3P6,
A03,TNF-α,580,0.4490,E3P6,Standard (Known: 0.33 pg/mL)
H03,TNF-α,505,0.3561,E3P6,Standard (Known: 0.33 pg/mL)
A04,TNF-α,1175,1.1803,E3P6,Standard (Known: 1.32 pg/mL)
H04,TNF-α,1095,1.0823,E3P6,Standard (Known: 1.32 pg/mL)
A05,TNF-α,4081,4.7045,E3P6,Standard (Known: 5.29 pg/mL)
H05,TNF-α,4223,4.8757,E3P6,Standard (Known: 5.29 pg/mL)
A06,TNF-α,17749,21.0571,E3P6,Standard (Known: 21.17 pg/mL)
H06,TNF-α,15813,18.7495,E3P6,Standard (Known: 21.17 pg/mL)
A07,TNF-α,62536,74.3744,E3P6,Standard (Known: 84.69 pg/mL)
H07,TNF-α,61962,73.6897,E3P6,Standard (Known: 84.69 pg/mL)
A08,TNF-α,269475,327.5141,E3P6,Standard (Known: 338.75 pg/mL)
H08,TNF-α,246720,298.9534,E3P6,Standard (Known: 338.75 pg/mL)
A09,TNF-α,940177,1275.3797,E3P6,Standard (Known: 1355 pg/mL)
H09,TNF-α,867425,1161.2069,E3P6,Standard (Known: 1355 pg/mL)

